text,cleaned_text,predicted
Butiran perjanjian akan dibincang semasa pertemuan kedua-dua menteri bulan depan,butir janji bincang temu,Positive
"Oleh yang demikian minda kita harus bertukar, sikap dan perlakuan kita harus berubah dalam keadaan yang dibalingkan gelombang yang besar kepada kita",minda tukar sikap laku ubah baling gelombang,Negative
"Saya percaya mereka hadir bukan kerana jamuan dan sebagainya, sebaliknya mereka hendak bersama kita.",percaya hadir rana jamu,Positive
tetapi bergantung kepada bagaimana ia akan diselesaikan dan bagi saya ia memerlukan perancangan kewangan yang sangat berkesan dalam tempoh 10 tahun dan hutang-hutang 1MDB juga adalah hutang jangka pendek,gantung selesai ancang kesan hutang mdb hutang jangka pendek,Negative
"Felda (Lembaga Kemajuan Tanah Persekutuan), dalam memenuhi peranannya untuk memastikan keterangkuman dan ekuiti dalam pembangunan ekonomi Malaysia, telah menjadi ikon antarabangsa dalam membasmi kemiskinan dan membina negara",felda lembaga maju sekutu penuh peran rangkum ekuiti bangun ikon basmi miskin bina,Negative
"Justeru janganlah mendengar fitnah, janganlah percaya kepada tohmahan dan jangan terperdaya dengan hasutan yang pastinya akan dihambur dan bergentaya­ngan sepanjang kempen bermula pada malam ini",justeru dengar fitnah percaya tohmahan daya hasut hambur bergentaya ngan kempen,Negative
Beberapa kenyataan yang jelas telah dikeluarkan kerajaan negara pengeluar minyak sawit utama untuk menentang larangan itu,nyata raja larang,Negative
"Sebagai langkah proaktif, ada pihak yang mengambil langkah menganjurkan gerakan besar-besaran mewujudkan pemantau sukarela",proaktif ambil anjur gera wujud pantau sukarela,Positive
"Kalau bercerita tentang di awal pembukaan rancangan ini, memang dulu banyak masalah masa mula-mula masuk sini.",cerita buka rancang masuk,Positive
"Suatu ketika rakyat Malaysia dikejutkan dengan kontrak pelantikan Apco Worldwide sebanyak hampir RM77 juta setahun yang hanya terdedah apabila diasak oleh Datuk Seri Anwar Ibrahim, bekas Ketua Pembangkang di Parlimen",kejut lantik apco worldwide rm dedah asak anwar ibrahim bangkang,Negative
"Saman sahaja pihak yang tuduh Presiden Bersatu, Tan Sri Muhyiddin Yassin ada skandal dengan isteri orang",saman tuduh muhyiddin yassin skandal isteri,Negative
Hakikatnya keberkesanan air itu adalah izin Allah SWT dan janganlah pula kita terlalu bergantung kepada penggunaannya,hakikat kesan izin allah swt gantung,Negative
"Khairy (Jamaluddin) dan ahli politik Barisan Nasional tidak patut menyembunyikan kepala mereka dalam pasir dan berpura-pura semuanya dalam keadaan baik, ketika anak muda kehilangan peluang mencapai aspirasi mereka dengan mendapat kerja lebih baik dan gaji sesuai",khairy jamaluddin ahli baris patut sembunyi kepala pasir pura muda hilang capai aspirasi gaji sesuai,Negative
"Kita mempunyai satu barisan kepimpinan yang baru, muda dan dinamik di bawah kepimpinan Lim",baris pimpin muda dinamik pimpin lim,Positive
Kita sudah ambil langkah ini lebih awal sebelum ini.,ambil,Positive
Sekarang saya boleh berkempen untuk calon lain,berkempen calon,Positive
Waktu itu kita bekerja sebagai satu pasukan dan sebab itu beliau boleh jadi Perdana Menteri sehingga 22 tahun,pasu,Positive
Kita pun tidak mahu beliau diheret dalam kancah politik.,diheret kancah,Negative
"Insya-ALLAH kita yakin apa yang dibawa Tok Guru, Allahyarham Datuk Nik Abdul Aziz Nik Mat telah nampak keberkesanan",insya-allah bawa tok guru allahyarham nik aziz nik mat nampak kesan,Positive
"Ini kita telah buktikan...bila ada kuasa undang-undang yang boleh dikenakan kepada mana-mana individu yang kemungkinan besar lakukan jenayah seperti keganasan, maka, tindakan itu sangat berkesan.",bukti undang individu laku jenayah ganas tindak kesan,Negative
"Kedua adakah benar ROS berikan kebenaran untuk tangguhkan pemilihan parti melebihi tempoh dibenarkan oleh perlembagaan parti itu,",ros ikan tangguh pilih lembaga,Positive
Jakim tidak berperlembagaan,jakim lembaga,Positive
"Kita pertahankan hak keistimewaan Melayu, agama Islam sebagai agama persekutuan, bahasa Melayu sebagai bahasa kebangsaan dan kedaulatan",tahan hak istimewa melayu agama agama sekutu bahasa melayu bahasa bangsa daulat,Positive
"Kita mengimport banyak daging tetapi dalam kumpulan pelbagai daging lembu, daging Wagyu adalah seperti berlian",mengimport daging kumpul daging lembu daging wagyu berlian,Positive
Jangan ambil mudah apa yang kita ada,ambil,Positive
"Jika mereka sembunyikan, kami akan dedahkan",sembunyi dedah,Negative
"Sejak Julai, Ogos dan November tahun lalu, Kementerian Kewangan hanya menjawab ada lapan syarikat antarabangsa berminat, kita tanya siapa mereka hanya kata... 'coming soon... coming soon.",november lap coming coming,Positive
Sebaliknya ia sudah menjadi isu politik,,Positive
"Selepas berbincang dengan Asafal, kami sepakat mewujudkan PKK RELA di kawasan laluan masuk ke Simpang Kampung Tanjung Batu",bincang asafal sepakat wujud pkk rela masuk simpang kampung tanjung batu,Positive
Adakah Najib dan SPR bersedia mengamalkan kedudukan terbuka Mahathir pada tahun 1990 bahawa mana-mana kumpulan antarabangsa adalah dialu-alukan dan bebas menghantar misi pemerhati untuk PRU14,spr sedia amal duduk buka mahathir kumpul alu bebas hantar misi perhati pru,Positive
"Bagi perbelanjaan domestik, asasnya bagus, tetapi hypermarket dan pasar raya besar (di Malaysia) yang menguasai 50 peratus pasaran runcit (menyaksikan pertumbuhan) negatif",belanja domestik bagus hypermarket pasar atus pasar runcit saksi tumbuh negatif,Negative
SPR dan SPRM sudah menyatakan komitmen untuk menjalin kerjasama bagi menangani isu kesalahan dalam pilihan raya khususnya berkaitan aktiviti kempen pilihan raya yang berunsur rasuah.mana-mana pihak yg mahu menyalurkan sebarang maklumat berkenaan perbuatan rasuah dan salah guna kuasa khusus dlm tempoh pilihan raya boleh diadukan kepada bilik gerakan,spr sprm nyata komitmen jalin tangan salah pilih khusus kait kempen pilih unsur rasuah mana salur rasuah salah khusus dlm pilih adu bilik gera,Negative
Mengapa kerajaan perlu melabur dengan jumlah yang cukup tinggi?,raja labur,Negative
pengundi perlu keluar mengundi kerana parti yang menang akan membentuk kerajaan,undi undi rana menang bentuk raja,Positive
"Saya akan mencadangkan ketua pembangkang, Datuk Seri Dr Wan Azizah Wan Ismail yang akan memulakan perbahasan untuk membuat pindaan usul terima kasih kepada Agong dengan meminta kerajaan membuat tuntutan terhadap aset berkaitan 1MDB",cadang bangkang wan azizah wan ismail bahas pinda usul terima kasih agong raja tuntut hadap aset kait mdb,Negative
"Kini, KKM menyediakan perkhidmatan saringan kanser kolorektal bagi mengesan kanser ini pada peringkat awal",kkm sedia khidmat saring kanser kolorektal kanser,Negative
Mereka ini akan bekerjasama memastikan kita menang di situ,bekerjasama menang situ,Positive
Mereka juga boleh tambah pendapatan jika R&R (hentian Rehat dan Rawat) dibuka di sini kerana ia (Bilut) jalan utama ke Raub,henti rehat rawat buka rana bilut raub,Positive
"Saya nak tanya, mereka ini nak lumpuhkan Bersatu bagi manfaat pihak mana dan siapa yang untung dalam hal ini?",lumpuh manfaat,Negative
AGM yang diadakan tidak mengikut perlembagaan,agm lembaga,Positive
80 peratus daripadanya jalan berturap menggunakan bitumen gred asli sebagai bahan pengikat dalam campuran asphalt untuk turapan jalan raya,atus turap bitumen gred asli ikat campur asphalt turap,Negative
Kami bersetuju rundingan mesti mengambil kira semua faktor seperti dicadangkan oleh (Timbalan Presiden Warisan) Darell Leiking,tuju runding mesti ambil faktor cadang timbal waris darell leiking,Positive
"Kenapa di Malaysia yang mana segala-gala masalah berpunca di sini, satu tindakan tidak diambil? ",segala-gala punca tindak ambil,Negative
"Akhirnya pada hari ini, saya cukup puas hati dengan tindakan yang dilakukan MCA.",puas hati tindak laku mca,Negative
Saya menggesa netizen menghentikan penyebaran berita palsu ini dan agar masyarakat tidak mempercayai sewenang-wenangnya berita palsu dan fitnah tanpa menyemak dengan sumber sahih,gesa netizen henti sebar berita palsu percaya wenang berita palsu fitnah semak sahih,Negative
Mensa­botaj parti atau calon bertanding adalah sikap buruk zaman dahulu kala yang satu sen pun tidak menguntungkan.,mensa botaj calon tanding sikap buruk zaman,Negative
"Siasatan masih di peringkat awal lagi, jadi kami perlu sedikit masa untuk meneliti secara terperinci dokumen yang disita kerana kes ini berlaku antara 2012 dan 2017,",siasat teliti perinci dokumen sita rana laku,Positive
Beliau (Shahrizat) sudah memaklumkan akan melupakan hasrat menjadi calon di kawasan ini.,shahrizat maklum lupa hasrat calon,Negative
Harga rumah yang semakin tinggi juga menyebabkan golongan muda terhimpit,golong muda terhimpit,Negative
Kebanyakan program adalah di peringkat komuniti bagi membolehkan ia dimanfaatkan oleh wanita daripada pelbagai lapisan masyarakat,komuniti manfaat lapis,Positive
"Oleh itu, menjadi tanggungjawab pemimpin KRT juga untuk menangani berita palsu dan bohong dengan menyampaikan maklumat sebenar atas setiap isu yang dibangkitkan",tanggungjawab pimpin krt tangan berita palsu bohong bangkit,Negative
"Maka adalah suatu kekeliruan (Kalau tidak pun penipuan) untuk menuduh penubuhan badan seperti Jakim kononnya tidak berperlembagaan, sedangkan ia sesuai dengan peruntukan-peruntukan yang disebutkan kerajaan persekutuan",keliru tipu tuduh tubuh badan jakim konon lembaga sesuai raja sekutu,Negative
"Di negara lain, berita palsu digunakan kerajaan autoritarian untuk melenyapka (tuduhan) pelanggaran hak asasi manusia.",berita palsu raja autoritarian melenyapka tuduh langgar hak asasi manusia,Negative
Kita mahu menggalakkan syarikat Malaysia pergi ke sana,galak pergi,Positive
Ini menjelaskan mengapa kumpulan itu tidak dapat menerima faedah daripada pertumbuhan pendapatan,kumpul terima tumbuh,Positive
Kehadiran lori balak yang keluar masuk sepanjang masa termasuk pada waktu sesi persekolahan bermula dan tamat membuatkan ibu bapa di sini risau akan keselamatan anak-anak mereka,hadir lori balak masuk masuk sekolah tamat bapa risau selamat,Negative
"SPRM tak pernah umum kes ini, mungkin SPRM akan dedahkan jika media tanya",sprm sprm dedah,Negative
Saya masih berpegang kepada itu (tidak menyertai mana-mana parti). ,pegang,Negative
"Selain itu, kita juga mengharapkan sistem sokongan sosial terutama dari masyarakat secara keseluruhan bagi memastikan isu pengabaian dan penyalahgunaan dadah di kalangan kanak-kanak dapat ditangani",harap sokong sosial abai penyalahgunaan dadah kalang kanak-kanak tangan,Negative
LKIM juga sudah memperuntukkan bajet yang sama pada tahun ini kepada nelayan yang menerima bantuan ini di Langkawi.,lkim bajet nelayan terima bantu langkawi,Positive
Kita (MADACorp) memandang serius keluhan petani berhubung masalah padi angin ini,madacorp pandang serius keluh tani hubung padi angin,Positive
Jadi kita perlu kaji semula perjanjian ini (dan) beri mereka lebih kuasa untuk memastikan pembangunan di Sabah dan Sarawak lebih meningkat,kaji janji bangun tingkat,Negative
Ringgit meningkat 10.4 peratus berbanding dolar AS pada 2017,tingkat atus banding,Negative
"Ramai orang dalam industri ini sangat kecewa, dan orang ramai sepatutnya lebih kecewa",kecewa patut kecewa,Negative
Saya yakin CAAM akan menyumbang kepada usaha berterusan dalam mengukuhkan mutu penerbangan negara serta menangani cabaran sedia ada,caam sumbang mutu tangan cabar sedia,Positive
"Kita perlukan lebih ramai rakyat Malaysia untuk berani bangkit bersama dalam perjuangan melawan kezaliman dan menegakkan keadilan buat Rafizi, Johari dan semua yang dizalimi di bumi tercinta ini",berani bangkit juang lawan zalim tegak adil rafizi johari zalim bumi cinta,Negative
"Tanpa disedari, walaupun perkara ini terpahat dalam Perlembagaan, tetapi ucapan-ucapan ceramah, pidato dan saya tengok dalam manifesto parti tertentu secara harus ada kena mengena untuk menidakkan Perlembagaan",pahat lembaga ceramah pidato tengok manifesto lembaga,Negative
"Jika Amini sendiri berhujah atas jalur rasis, mana nak betul-betul integrasi dalam kepelbagaian",amin hujah jalur ras integrasi,Negative
awas gelombang fitnah,awas gelombang fitnah,Negative
Beliau berharap agar para penyokong bagi calon-calon yang bertanding dalam PRU14 menjaga perlakuan dan sentiasa bersabar bagi memastikan proses penamaan calon berjalan lancar tanpa sebarang provokasi,harap sokong calon tanding pru jaga laku sentiasa sabar nama calon lancar provokasi,Negative
 Ini sebabnya kita berterima kasih ada seorang perdana menteri yang prihatin tentang Sabah,terima kasih prihatin,Positive
Ini didedahkan kepada saya oleh pegawai penyiasat ketika dia datang untuk menyiasat saya di penjara Sungai Buloh,dedah siasat siasat penjara sungai buloh,Negative
"Apa yang kita lihat hari ini adalah perasaan campur baur, gembira dan sedih",lihat asa campur baur gembira sedih,Negative
Kita ada agenda yang penuh namun ia turut menjadi peluang untuk memperluas kepentingan bersama kita,agenda penuh luas,Positive
Ia tidak memahami Malaysia,paham,Negative
"Saya sudah bertemu dengan pengurusan Proton dan ‘dealer’, ini ada isu komunikasi dan sedang ditangani oleh Proton dan kerajaan juga sedang cari jalan untuk bantu mereka, transformasi daripada 1S ke 3S.",temu dealer komunikasi tangan raja cari bantu transformasi,Positive
"Sebelum ini, saya sering dikeji dan dituduh pelbagai perkara dan ia adalah perkara lumrah dalam politik",keji tuduh lumrah,Negative
"Kami berpandangan apa yang diputuskan Mahkamah Persekutuan itu disebabkan mahkamah syariah tidak diberi kuasa membuat semakan kehakiman terhadap sebarang keputusan  dibuat  mana-mana jawatankuasa atau institusi di bawah Majlis Agama Islam,",pandang putus sekutu syariah sema hakim hadap putus institusi agama,Negative
"Jika dilihat, kos sara hidup memang tinggi.",lihat sara hidup,Positive
Semua masalah kita hari ini disebabkan dia,,Positive
"Selaku menteri Perumahan, Kerajaan Tempatan dan Kesejahteraan Bandar, menjadi tanggungjawab kita untuk memastikan penggunaan beg plastik ini dikurangkan.",raja sejahtera tanggungjawab beg plastik,Positive
"Oleh kerana speaker tidak benarkan kami untuk bertanyakan soalan di Parlimen, kami cadangkan supaya beliau menjawab soalan-soalan kami.",rana speaker cadang,Positive
Insya-ALLAH saya akan jawab lebih terperinci atas beberapa tuduhan itu selepas ini,insya-allah perinci tuduh,Positive
"Sedangkan Agensi Tenaga Atom Antarabangsa (IAEA) telah sahkan ia selamat dan selepas habis pilihan raya, iaitu lima tahun, isu itu senyap dan lesu sama sekali kerana ia hanya digunakan untuk tipu kita",agens atom iaea sahkan selamat habis pilih senyap lesu rana tipu,Negative
Usaha kita dalam aspek ini adalah “the new battleground” yang perlu kita beri tumpuan lebih,aspek battleground tumpu,Positive
"Saya kecewa dengan Umno, dalam kepimpinan Umno telah ditutup mata dan telinga sehingga tidak tahu menilai yang betul dan tidak",kecewa pimpin tutup telinga,Negative
Kerja-kerja naik taraf mengatasi masalah banjir dan masalah pencemaran air di Sungai Benut yang menjadi nadi utama bekalan air bersih sedang giat dilaksanakan.,taraf banjir cemar sungai benut nadi bekal bersih giat laksana,Negative
Niat kami jelas dan tidak ada sebarang rasa kesal,niat kesal,Negative
Kita bersyukur apabila hasrat untuk melihat pendidikan agama terus berkembang di kawasan ini akan tercapai apabila mendapat maklumat bahawa peruntukan sudah diluluskan,syukur hasrat lihat didik agama kembang capai lulus,Positive
Saya fikir pandangan yang sebegitu tidak menunjukkan kefahaman tentang masalah kehidupan sosial dalam negara.,fikir pandang kefahaman hidup sosial,Positive
"Mereka melihat kita (BN) bekerja untuk rakyat, bukan untuk menang pilihan raya sahaja... apabila kita tetap bekerja membela nasib mereka walaupun kita kalah di kawasan itu, ini menyebabkan mereka kembali yakin kepada BN dan MCA,",lihat menang pilih bela nasib kalah mca,Negative
 Yang lain hanyalah kakitangan sokongan dan rendah.,kakitangan sokong,Positive
Saya hanya membawa PRA ke Jabatan Imigresen sekali sahaja untuk membuat pendaftaran biometrik,bawa pra jabat imigresen daftar biometrik,Positive
Kita mesti bertindak sekarang untuk pastikan situasi bertambah baik sebelum melarat,mesti tindak situasi melarat,Positive
"Beliau juga akan mengetengahkan konsep kesederhanaan Malaysia atau wasatiah, iaitu asas penting bagi menangani keganasan yang jelik dan kejam dalam segala bentuk dan perbuatan",konsep sederhana wasatiah tangan ganas jelik kejam bentuk,Negative
"Itu hak PAS untuk bertanding, kita hormati keputusan dia",hak pas tanding hormat putus,Negative
Siapa di dunia ini yang menjalankan perniagaan dengan memarahi pengguna mereka?,parah,Negative
Antara agenda besar yang akan kita bincangkan dalam persidangan ini adalah pengenalan logo Produk Ummah yang berfungsi membezakan produk halal milik usahawan Islam dengan bukan Islam,agenda bincang kenal logo ummah fungsi membezakan halal milik usahawan,Positive
Ikatan tak pernah mengamuk kalau tak dapat kerusi.,ikat amuk kerusi,Negative
"Sesetengah gangguan daripada individu nakal itu satu hal, tapi ancaman terbesar kita adalah di serata dunia ketika ini berdepan gerakan untuk menyuntik kebencian dan rusuhan",ganggu individu nakal ancam gera suntik benci rusuh,Negative
"Jadi, perlu dasar awam baru diperkenalkan untuk benar-benar membebaskan golongan ini daripada kemiskinan",kenal bebas golong miskin,Negative
"Masyarakat rata-ratanya mengeluh mengenai keadaan hidup semasa, disamping harga barang yang tinggi",keluh hidup samping barang,Negative
"Saya beritahu pengerusi dan ahli-ahli jawatankuasa saya, dan mereka bersetuju",beritahu ahli tuju,Negative
"Selain itu, Muslimat Pas juga ingin mencadangkan agar pihak pengusaha dan persatuan berbincang secara lebih mendalam berkenaan isu pelanggaran hak Muslim yang bekerja di hotel yang mengakibatkan polemik yang terjadi sebelum ini",muslimat pas cadang bincang langgar hak muslim hotel akibat polemik,Negative
Kenapa hendak takutkan mereka (pemimpin PKR),takut pimpin pkr,Negative
Kepelbagaian ialah ciri-ciri unik kita dan sumber kekuatan kita,ciri unik kuat,Positive
Hanya seorang berada di kedudukan ‘pengurusan dan profesional’.,duduk profesional,Positive
"Dan yang ketiga, di garisan penamat nanti, pastikan bahawa kita berikan yang terbaik untuk rakyat",garis tamat ikan,Positive
Kita harus berusaha berkomunikasi antara satu sama lain.,komunikasi,Positive
"Kenapa nak bazirkan duit untuk perkara yang bukannya membantu, tapi sebenarnya akan lebih menyusahkan golongan LGBT ini dan memberikan persepsi negatif",bazirkan duit bantu susah golong lgbt persepsi negatif,Negative
"Kalau tanya saya, saya setuju sahaja, (tempoh kempen) panjang tidak apa, pendek pun tidak apa tetapi kita mengharapkan ada etika dalam berkempen",tuju kempen pendek harap etika berkempen,Negative
"Tetapi ramai yang memilih untuk ada fleksibel dan jadi seorang pemandu Grab, menjual di internet dan sebagainya",pilih fleksibel pandu grab jual internet,Positive
"Kebanyakan orang Cina yang kamu temui di sini akan beritahu kamu, kebimbangan mereka tentang isu yang melanda negara.",cina temu beritahu bimbang landa,Negative
Rondaan akan menggunakan kenderaan penguatkuasa berlogo dengan membuka lampu mata arah  dengan kelajuan tidak melebihi 70km/jam menggunakan lorong kecemasan atau lorong paling kiri jalan,ronda kenderaan penguatkuasa logo buka lampu arah laju km jam lorong cemas lorong kiri,Negative
"Bahkan, apa yang lebih nyata Dr Mahathir mahu memindahkan kuasa mengisytiharkan darurat daripada Yang di-Pertuan Agong kepada perdana menteri dalam 1993 tetapi gagal",nyata mahathir pindah mengisytiharkan darurat di-pertuan agong gagal,Negative
Harga minyak dijanjikan BN pada PRU lepas juga telah berubah turun naiknya setiap minggu.,janji pru ubah,Positive
"Memang betul peruntukan undang-undang sedia ada menerusi kanun keseksaan boleh digunakan dalam mengadili kesalahan gangguan seksual, namun ia memerlukan penambahbaikan dengan mewujudkan akta khusus",undang sedia terusi kanun keseksaan adil salah ganggu seksual penambahbaikan wujud akta khusus,Negative
Kita juga menawarkan pusat rawatan ini berdaftar dengan AADK untuk pemantauan dan bantuan kewangan bagi menjalankan program bersesuaian,tawar rawat daftar aadk pantau bantu suai,Positive
Itu yang kita harapkan apabila ramai dapat manfaat.,harap manfaat,Positive
Penerima pertumbuhan itu hanya golongan kaya,terima tumbuh golong kaya,Positive
Mereka akan tunjukkan pada rakyat kononnya mereka ialah kerajaan yang prihatin,konon raja prihatin,Positive
Saya fikir ia kerana saya boleh nampak beliau betul-betul berusaha untuk membetulkan kesilapannya pada usia 92 tahun,fikir rana nampak silap usia,Negative
"Anak-anak kita menjadi bahan uji kaji dan akhirnya tubuh mereka lebih awal bongkok sebelum usia kerana beban yang dibawa, bukan sekadar beban pemikiran, tetapi beban buku yang membongkokkan mereka.",uji kaji tubuh bongkok usia rana beban bawa beban pikir beban buku membongkokkan,Negative
"Pilihan raya matang akan bawa perubahan baru iaitu bila dah tak amanah, rakyat menderita maka perlu berani ambil buat keputusan tegas",pilih matang bawa ubah amanah derita berani ambil putus,Negative
"Jangan kerana dekat nak mengundi, semua bantuan diberikan kerajaan dilihat, dikatakan sebagai umpan sedangkan hakikatnya tidak begitu.",rana undi bantu raja lihat umpan hakikat,Negative
"Masyarakat Melayu masih ingin perubahan, namun bukan secara drastik",melayu ubah drastik,Negative
Pembahagian kerusi tiada masalah bagi BN dan kita hanya berbincang pertukaran kerusi . MCA pun sudah dapat balik kerusi Gelang Patah,pembahagian kerusi bincang tukar kerusi mca kerusi gelang patah,Negative
Amanah tidak pernah mengeluarkan sebarang kenyataan mahu memusuhi Pas apa lagi memusnahkan parti Islam tersebut.,amanah nyata musuh pas musnah,Negative
"Sehingga kini, tiada sebarang permohonan difailkan oleh pihak pendakwaan dan kami juga tidak mengetahui apakah alasan yang dibangkitkan dalam permohonan itu",mohon fail dakwa alas bangkit mohon,Negative
Mereka perlukan idea baru yang lebih segar dan baru.,idea segar,Positive
seorang arkitek tidak lemah walaupun setiap pilihan raya yang disertai akan kehilangan wang pertaruhan.,arkitek lemah pilih hilang taruh,Negative
Ini bertujuan meyakinkan peneroka Felda dan orang Melayu kononnya pelbagai isu yang dibawakan oleh saya dan pimpinan Pakatan Harapan yang lain adalah tidak benar,tuju teroka felda melayu konon bawa pimpin pakat harap,Negative
Bank Negara harus mengeluarkan kenyataan berhubung status bon tersebut.,nyata hubung status bon,Positive
Saya adalah ketua pendaftar bahagian dan kita yang buat kerja. ,daftar,Positive
Kita boleh beri kata dua kepada sesiapa yang tidak menghormati kita,hormat,Negative
Pendekatan itu sejajar prinsip dana keselamatan sosial,sejajar prinsip selamat sosial,Positive
"Sama ada kami boleh melakukan siasatan bersama kemudian atau kami boleh serahkan kemudian, kami dalam proses mengumpul bukti dan menyiasat",laku siasat serah kumpul bukti siasat,Negative
Sebenarnya kita sudah ada satu pelan pembangunan induk untuk Wang Kelian,pelan bangun induk kelian,Positive
"Disebabkan itu saya telah mengarahkan siasatan yang paling komprehensif dan terperinci dilakukan dalam sejarah korporat Malaysia, siasatan yang melibatkan pelbagai pihak berkuasa termasuk jawatankuasa parlimen dianggotai parti kerajaan dan pembangkang",arah siasat komprehensif perinci laku sejarah korporat siasat libat masuk raja bangkang,Negative
Itu komen saya,komen,Positive
"Terdapat 16 pusat dan institut latihan di seluruh negara, yang melahirkan lebih 1,000 orang graduan setiap tahun",institut latih lahir graduan,Positive
Saya ke pejabat beliau keesokan harinya,jabat esok,Positive
Mahathir bukan benar-benar memperjuangkan usaha 'menyelamatkan negara',mahathir juang selamat,Positive
Nampaknya saya akan buat susulan dengan menulis kepada IGP dan menyatakan saya terkilan serta tak puas hati sebab gagal bertemu dengan dia,nampaknya susul tulis igp nyata kilan puas hati gagal temu,Negative
Kita ada struktur dalam kementerian di mana ada kerja-kerja yang perlu dilakukan pegawai yang lebih cekap,struktur laku cekap,Positive
"Memang kalau kita dapat bukti sahaja, kita memang ambil tindakan tegas kepada penghuni yang membuang sampah merata",bukti ambil tindak huni buang sampah,Negative
Lapan bulan saya kerja dengan Yusuf dan saya ada bukti keuntungan hasil daripada bayaran pinjaman ah long.,lap yusuf bukti bayar pinjam,Negative
"Saya sangat marah pada Dr Mahathir Mohamad atas apa dia buat terhadap Anwar,",marah mahathir mohamad hadap anwar,Negative
"Baru-baru ini mereka turut meminta mahkamah menangguhkan kes itu selama 6 bulan lagi,",tangguh,Negative
"Saya tak tahu PKR nak letak siapa di Pandan tapi berdasarkan demografi dan semua faktor, sesiapa sahaja calon ditempatkan pasti akan menang",pkr letak pandan demografi faktor calon menang,Negative
"Saya berharap SPRM dapat memastikan integriti terjaga, dan mereka tidak terlibat dalam sebarang penyalahgunaan kuasa hanya untuk mencapai matlamat politik menjelang Pilihan Raya Umum ke-14 ini",harap sprm integriti jaga libat penyalahgunaan capai matlamat jelang pilih ke-,Negative
Kita mendahulukan pusat Tahfiz yang tidak berdaftar kerana pusat Tahfiz berkenaan kebanyakannya tidak mengikut piawaian yang ditetapkan berbanding pusat Tahfiz yang telah berdaftar,tahfiz daftar rana tahfiz piawai banding tahfiz daftar,Positive
"Sejak Harapan wujud, ketika itu saya masih ahli Pas dan setelah tinggalkan Pas sehingga hari ini saya terus berkempen di seluruh negeri untuk Harapan",harap wujud ahli pas tinggal pas berkempen harap,Negative
Kita mahu pastikan negara ini tidak ditinggalkan ke belakang (daripada segi teknologi). Kita juga perlu sedar visi untuk status negara membangun diperkuatkan oleh kaedah inovasi,tinggal dar visi status bangun kuat kaedah inovasi,Negative
Memperkasa wanita juga membawa maksud membangunkan kebebasan kewangan dan ekonomi kaum itu sekali gus mengeluarkan mereka daripada situasi hanya bergantung kepada orang lain,perkasa bawa maksud bangun bebas kaum gus situasi gantung,Negative
Buat pula secara rasmi di hotel-hotel yang kita boleh anggap sebagai perlu mengeluarkan kos banyak hanya untuk buat sidang media,rasmi hotel anggap,Negative
Tiada isu tertentu yang disentuh mengenai peruntukan kerusi,sentuh kerusi,Positive
Saya kagum dengan keindahan semula jadi yang ada di Felda Lurah Bilut ini di mana ada dua sungai mengalir. Kita akan rawat air Sungai Bilut dan Sungai Kertau (boleh diminum) untuk kegunaan peneroka,kagum indah felda lurah bilut sungai alir rawat sungai bilut sungai kertau minum teroka,Positive
Mungkin sebab itu ramai yang keluar (daripada parti),,Positive
"Malah jika didapati sesebuah syarikat gagal menjamin keselamatan maklumat peribadi, mungkin kontrak syarikat tersebut akan dibatalkan!",buah gagal jamin selamat peribadi batal,Negative
Calon itu haruslah seseorang yang kuat dan berpengaruh,calon kuat pengaruh,Positive
pada 5 Januari 2018 nilainya berada pada kedudukan tertinggi dalam tempoh 17 bulan dan kembali kepada paras psikologi di bawah RM4.00,januari duduk psikologi rm,Positive
Ada lagi yang akan keluar cuma tunggu masa.,tunggu,Positive
"Tetapi saya menaruh keyakinan guru wanita dapat atasi masalah (disiplin) walaupun berdepan tugas yang lebih mencabar yang membabitkan sekolah- sekolah kategori ""hotspot"" (tinggi masalah disiplin)",taruh guru disiplin tugas cabar babit sekolah- sekolah kategori hotspot disiplin,Negative
"Memang Timbalan Perdana Menteri ketika itu, Tun Abdul Ghafar Baba mencadangkan Jasa ini dan kami menyokong penubuhannya di bawah Kementerian Penerangan.",timbal ghafar baba cadang jasa sokong tubuh terang,Negative
"Negeri ini menerima arahan parti, parti melihat ada keperluan maka perlu begitu",terima arah lihat,Positive
Kerana itu kami mengadakan taklimat berkenaan hari ini (semalam) supaya ahlinya yang terdiri daripada Persatuan Alumni SMK Dato' Sagor dapat memahami lebih jelas apa itu koperasi dan bagaimana ia mampu menjana pendapatan bukan sahaja kepada koperasi itu sendiri malah juga ahlinya,rana taklimat ahli alumni smk dato sagor paham koperasi menjana koperasi ahli,Positive
"Wabak rabies masih lagi terkawal, saya nasihatkan sesiapa yang terkena gigitan anjing agar segera mendapatkan rawatan di klinik atau hospital kerajaan",wabak rabies kawal nasihat gigit anjing rawat klinik hospital raja,Negative
Kita juga akan membantu pengguna jalan raya yang mengalami masalah serta halangan yang menyebabkan kesesakan di kawasan terbabit kerana ia juga boleh menjadi punca berlakunya kemalangan,bantu alami halang sesak babit rana punca laku malang,Negative
"Kita melihat ini adalah cadangan baik kerana berdasarkan prosedur kita juga, kanak-kanak itu boleh ditempatkan di setiap institusi kita berdasarkan perintah mahkamah yang diberikan namun ini adalah jalan akhir kepada penyelesaian berkenaan",lihat cadang rana prosedur kanak-kanak institusi perintah selesai,Negative
